"2008 American League Player Review
← 2007 | 2008 Pitching Statistics League Leaders | 2009 →"
Statistic,Name,Team,#,Top 25
Complete Games,Roy Halladay,Toronto,9,Top 25
ERA,Cliff Lee,Cleveland,2.54,Top 25
Games,Matt Guerrier,Minnesota,76,Top 25
Francisco Rodriguez,Los Angeles
Saves,Francisco Rodriguez,Los Angeles,62,Top 25
Shutouts,Matt Garza,Tampa Bay,2,Top 25
Roy Halladay,Toronto
Cliff Lee,Cleveland
Jon Lester,Boston
Jesse Litsch,Toronto
C.C. Sabathia,Cleveland
James Shields,Tampa Bay
Kevin Slowey,Minnesota
Strikeouts,A.J. Burnett,Toronto,231,Top 25
Winning Percentage,Cliff Lee,Cleveland,.880,Top 25
Wins,Cliff Lee,Cleveland,22,Top 25
Statistic,Name,Team,#,Top 25
2008 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
